#DEVICE_NAME;DEVICE_ID;IPS<ip1,ip2,...>;MESH_MAC

#COZYBIT PHONES

#GALAXY NEXUS
CB02;0149C6F41201D00C;;
CB05;0149C6F40D008007;;
CB06;014994DD0A01A011;10.23.145.118;f8:d1:11:17:91:76
CB07;0149C6F413020012;10.98.227.155;f8:d1:11:62:e3:9b
CB08;0149C2201700D004;10.101.147.26;f8:d1:11:65:93:1a
CB09;0149C2201901400C;10.23.132.4;f8:d1:11:17:84:04
CB10;0149C22014010012;10.142.125.91;f4:ec:38:8e:7d:5b
#CB11;014E0FAC0200A015;10.101.141.53;f8:d1:11:62:e3:9b -- borrowed
CB12;0149C22117014007;10.98.245.122;f8:d1:11:62:f5:7a
CB13;014E0F500301C00B;10.13.126.209;f8:d1:11:0d:7e:d1
CB14;014E0F2507021014;10.101.134.43;f8:d1:11:17:5b:2c
CB26;0149AE240501F008;192.168.1.226,10.23.164.147;f8:d1:11:17:a4:93
CB27;0149BD310A00B005;192.168.1.227,10.23.114.53;f8:d1:11:17:72:35
CB28;0149CBF00E013011;192.168.1.228,10.101.203.240;f8:d1:11:65:cb:f0
CB29;014E240C0501500B;192.168.1.229,10.99.134.235;f8:d1:11:63:86:eb
CB30;0149AE2404003011;192.168.1.230,10.23.181.6;f8:d1:11:17:b5:06
#GALAXY S3 - GT-I9300
CB31;4df113070f4f5f2d;192.168.1.231,10.101.134.43;f8:d1:11:65:86:2b
CB32;4df18b3c38ef9f2b;192.168.1.232;
CB33;4df1ed61097c7f11;192.168.1.233,10.10.160.108;64:70:02:0a:a0:6c
CB34;4df1455d59707f21;192.168.1.234,10.9.198.212;64:70:02:09:c6:d4
CB35;4df1d02314d14f41;192.168.1.235,10.10.79.49;64:70:02:0a:4f:31
CB36;4df1fd984dbb7f37;192.168.1.236,10.45.40.108;64:70:02:2d:28:6c
CB37;4df16c6f725c7fa1;192.168.1.237,10.10.160.252;64:70:02:0a:a0:fc
CB38;4df1c2ee7c687f01;192.168.1.238,10.10.78.178;64:70:02:0a:4e:b2
CB39;4df17f6d7ccd7f75;192.168.1.239,10.9.198.212;64:70:02:09:c6:d4
CB40;4df1180b308d7f53;192.168.1.240,10.43.94.91;64:70:02:2b:5e:5b
CB41;4df1ce7d34ef9f5b;192.168.1.241,10.44.23.230;64:70:02:2c:17:e6
CB42;4df15b7320a19fe9;192.168.1.242,10.27.206.220;64:70:02:1b:ce:dc
CB43;4df192d761089fe5;192.168.1.243,10.28.230.80;64:70:02:1c:e6:50
CB44;4df1e1a452dd9f65;192.168.1.244,10.43.19.48;64:70:02:2b:13:30
CB45;4df1ddf36cc39fff;192.168.1.245,10.28.200.42;64:70:02:1c:c8:2a
CB46;4df1de2406bf9ffb;192.168.1.246,10.28.238.43;64:70:02:1c:ee:2b
CB47;4df11c4877309fcd;192.168.1.247,10.28.161.79;64:70:02:1c:a1:4f
CB48;4df1a3c87ec39f3d;192.168.1.248,10.28.177.94;64:70:02:1c:b1:5e
CB49;4df1fe1b71449fcb;192.168.1.249,10.43.91.122;64:70:02:2b:5b:7a
CB50;4df11c4867309f77;192.168.1.250,10.28.238.21;64:70:02:1c:ee:15
#SAMSUNG PHONES
SG01;0A3C23C70501200E;;
SG02;0149B33D1901400A;;
SG03;0A3C233F07013010;;
#PERSONAL
MIO;014E0FAC0200A015;;
